unix,open,high,low,close,Volume BTC,tradecount
1.64451E+12,45060,45199.93,45045.65,45199.93,47.44038,1249
1.64451E+12,45180.75,45214.05,44900.58,45028.3,362.64212,10196
1.6445E+12,43711.04,43730,43650,43694.83,79.79569,1238
1.6445E+12,43323.28,43411.65,43281.95,43324.35,132.99983,4001
1.6445E+12,44009.71,44036.77,43760,43760,229.66715,6299
1.6445E+12,44760.24,44849.99,44749.92,44849.95,55.50598,1199
1.6445E+12,44712.58,44712.59,44658.39,44667.54,14.17218,811
1.64449E+12,44949.73,44949.73,44857.7,44919.15,31.08145,955
1.64449E+12,45075.32,45139.5,45066.31,45115.11,32.21218,1268
1.64449E+12,44567.08,44593.99,44565.13,44593.97,12.00898,590
1.64449E+12,44585.04,44617.54,44585.03,44611.03,10.86841,495
1.64449E+12,44424.46,44489.78,44421.55,44466.69,38.38424,1041
1.64449E+12,44341.02,44358.75,44338.01,44354,16.69945,682
1.64448E+12,44173.31,44182,44155,44178.31,18.36771,716
1.64448E+12,44142.92,44156.75,44140.71,44141.26,9.39958,371
1.64448E+12,44123.63,44123.63,44100.96,44106.62,9.80228,547
1.64448E+12,43984.24,43984.24,43966.93,43969.99,9.68268,563
1.64448E+12,43937.8,43976.85,43921.85,43966.59,24.85277,663
1.64447E+12,43814,43840,43813.99,43824.62,13.88663,479
1.64447E+12,43905.86,43920,43900.53,43920,21.77305,528
1.64447E+12,43812.72,43812.73,43781.56,43781.91,7.77712,275
1.64447E+12,43764.09,43764.09,43720.07,43728.24,6.36011,351
1.64447E+12,43784.94,43818.76,43778.35,43789.31,12.42039,412
1.64447E+12,43774.51,43822.8,43774.5,43811.72,41.49,751
1.64446E+12,43762.33,43773.98,43744.36,43745.2,16.78481,531
1.64446E+12,43673.4,43730.44,43672.71,43690.44,35.95266,819
1.64446E+12,44254.74,44257.36,44254.65,44257.23,10.90176,429
1.64446E+12,44209.25,44238.51,44200,44226.71,15.68493,541
1.64446E+12,44151.99,44181.75,44141.91,44146.98,11.45379,423
1.64446E+12,44183.63,44187.71,44173.7,44183.99,10.44395,435
1.64445E+12,44116.09,44117.68,44068.58,44096.84,22.34549,681
1.64445E+12,44320.18,44320.18,44287.09,44303.16,12.85264,563
1.64445E+12,44386.85,44386.86,44355.61,44357.23,3.93538,326
1.64445E+12,44535.76,44554.21,44535.76,44552.45,6.21752,344
1.64445E+12,44437.34,44447.19,44435.62,44442.43,6.33234,316
1.64444E+12,44470.01,44510,44470,44504.43,6.62002,584
1.64444E+12,44567.73,44596.14,44565,44588.39,21.51183,425
1.64444E+12,44625,44662.54,44614.68,44644.82,11.19846,469
1.64444E+12,44693.86,44719.65,44661.14,44692,39.99925,1425
1.64444E+12,44512.12,44521.79,44480.01,44483.19,11.93403,692
1.64444E+12,44493.67,44525.51,44458.42,44515.75,24.92511,1125
1.64443E+12,44332.82,44393.99,44329.42,44393.98,35.72249,1424
1.64443E+12,43956.07,43982.23,43942.24,43981.96,13.85375,511
1.64443E+12,44043.04,44049.99,43973.64,43995.63,33.48664,664
1.64443E+12,44085.4,44113,44085.39,44099.85,8.57059,479
